============================================================
CAN Bus IDS started at 2026-06-17 21:37:11
============================================================
============================================================
CAN Bus IDS started at 2026-06-17 21:39:16
============================================================
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] FLOOD | HIGH confidence | CAN_ID=0x101 | 11 messages from CAN_ID=0x101 in 1.0s (threshold=10)
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:21] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:22] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:22] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:22] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:22] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:22] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:22] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:22] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:22] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-17 21:39:23] REPLAY | HIGH confidence | CAN_ID=0x101 | Exact duplicate message from CAN_ID=0x101. Counter=5 with identical data seen before.
[ALERT] [2026-06-17 21:39:23] REPLAY | HIGH confidence | CAN_ID=0x101 | Exact duplicate message from CAN_ID=0x101. Counter=5 with identical data seen before.
[ALERT] [2026-06-17 21:39:24] REPLAY | HIGH confidence | CAN_ID=0x101 | Exact duplicate message from CAN_ID=0x101. Counter=5 with identical data seen before.
[ALERT] [2026-06-17 21:39:24] REPLAY | HIGH confidence | CAN_ID=0x101 | Exact duplicate message from CAN_ID=0x101. Counter=5 with identical data seen before.
[ALERT] [2026-06-17 21:39:25] SPOOF | HIGH confidence | CAN_ID=0x100 | Auth token mismatch on CAN_ID=0x100. Received=FFFFFFFF, Expected=DEADBEEF. Possible identity spoofing.
[ALERT] [2026-06-17 21:39:26] SPOOF | HIGH confidence | CAN_ID=0x100 | Auth token mismatch on CAN_ID=0x100. Received=FFFFFFFF, Expected=DEADBEEF. Possible identity spoofing.
[ALERT] [2026-06-17 21:39:27] SPOOF | HIGH confidence | CAN_ID=0x100 | Auth token mismatch on CAN_ID=0x100. Received=FFFFFFFF, Expected=DEADBEEF. Possible identity spoofing.
Session ended 2026-06-17 21:39:29 | Messages=15 | Alerts=58 | Flood=1 | Replay=4 | Spoof=53
============================================================
============================================================
CAN Bus IDS started at 2026-06-18 13:05:05
============================================================
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] FLOOD | HIGH confidence | CAN_ID=0x101 | 11 messages from CAN_ID=0x101 in 1.0s (threshold=10)
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:09] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
[ALERT] [2026-06-18 13:05:10] SPOOF | MEDIUM confidence | CAN_ID=0x101 | Message from unknown CAN_ID=0x101. Not in whitelist of legitimate ECU IDs.
